ID,Name,RA,DEC,Vmag,Type,Size,Catalog,ObjectType,Constellation,NGC_IC
M97,Owl Nebula,11.1667,55.0167,9.9,PN,0.056666666666666664,Messier,DSO,UMa,NGC 3587
M98,M98,12.2167,14.9,10.1,GX,0.08333333333333333,Messier,DSO,Com,NGC 4192
M99,M99,12.3,14.4167,9.9,GX,0.08333333333333333,Messier,DSO,Com,NGC 4254
M100,M100,12.3833,15.7833,9.3,GX,0.11666666666666667,Messier,DSO,Com,NGC 4321
M101,Pinwheel Galaxy,14.05,54.35,7.9,GX,0.45,Messier,DSO,UMa,NGC 5457
M102,Spindle Galaxy,15.0833,55.7667,10.0,GX,0.08333333333333333,Messier,DSO,Dra,NGC 5866
M103,M103,1.55,60.7,7.4,OC,0.1,Messier,DSO,Cas,NGC 581
M104,Sombrero Galaxy,12.6667,-11.6167,8.0,GX,0.15,Messier,DSO,Vir,NGC 4594
M105,M105,10.7833,12.5833,9.3,GX,0.03333333333333333,Messier,DSO,Leo,NGC 3379
M106,M106,12.3,47.3,8.4,GX,0.31666666666666665,Messier,DSO,CVn,NGC 4258
M107,M107,16.5333,-13.05,8.1,GC,0.16666666666666666,Messier,DSO,Oph,NGC 6171
M108,M108,11.1833,55.6667,10.0,GX,0.13333333333333333,Messier,DSO,UMa,NGC 3556
M109,M109,12.0167,29.85,9.8,GX,0.11666666666666667,Messier,DSO,UMa,NGC 3992
M110,M110,0.6667,41.6833,8.5,GX,0.2833333333333333,Messier,DSO,And,NGC 205
